"filename","failed_anlysis","CHATTY_SERVICE","CYCLIC_DEPENDENCY","DATA_SERVICE","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CYCLIC_DEPENDENCY_ns","DATA_SERVICE_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"1  bounded context.xml","0","0","1","0","1","1","0","0","0","1","0","0","0","0","2887400","3779200","526000","3373100","3533100","413000","176000","67200","1545200","2396400","1880400","37200","286400","60","108","59831"
"1 Abstract Factory v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","63500","777300","73300","2523900","1897400","44000","24000","10500","1305000","2007900","2001800","38600","1111900","68","86","104809"
"1 Accountability.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","66800","133400","51000","430300","568700","33000","20400","15400","766800","1038700","934900","31300","41600","34","46","133638"
"1 Adapter v1.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","52400","78000","44200","191100","151500","20100","17600","15700","82200","178900","209000","21600","26100","14","20","47594"
"1 associations.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 core domain.xml","0","0","1","0","0","1","0","0","0","0","0","0","0","0","27900","164600","25800","108500","150000","16300","11700","10200","90900","242200","221200","18300","35200","19","42","40283"
"1 evolving order.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","34200","89600","29100","99700","226700","18000","13900","8500","459600","532000","636100","28500","43700","33","52","41273"
"1 model-driven design.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","47400","62300","33400","207400","246300","22400","15400","16800","203100","339900","253500","24500","21900","22","21","31332"
"1 Service Layer.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","37700","64900","46900","89000","91600","26600","22400","14000","189100","385300","80000","16500","83000","16","11","11567"
"1 ubiquitous language.xml","0","0","1","0","1","0","0","0","0","0","0","0","0","0","54500","173900","46400","209100","277800","26500","26200","12200","190900","284400","468900","16800","48400","31","48","26362"
"10 Layered Architecture for Information Systems.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","33800","34800","21000","111500","113700","14300","13000","10400","108900","140900","117600","10600","12200","19","12","25451"
"10 published language.xml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","28700","183700","37300","129600","282300","17000","15500","10900","359900","349400","391200","14600","24000","33","65","101342"
"10 repositories.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","1","43200","185700","38000","603700","1228200","27200","17100","10300","1729000","1462700","1776900","25200","39000","100","91","107977"
"10 Service Stub.xml","0","0","0","0","0","0","0","0","0","1","0","0","0","0","22300","43000","16400","82300","99300","11800","8500","6200","74700","109400","115000","9500","11700","18","20","22429"
"10 Template Method v1.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11 domain events.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11 Patterns for Type Model Design.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","35500","172100","31800","529400","1113400","15000","10400","5400","2288300","1416500","1690600","19300","25200","96","93","102524"
"11 Visitor v1.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12 Association Patterns.xml","0","0","1","0","0","0","0","0","0","1","0","0","0","0","19500","23500","13400","52300","66100","7500","6700","5000","60400","79100","85100","6700","8900","15","18","7410"
"2 Bridge v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","28100","733100","26200","1222300","2805800","30200","10100","4600","3326500","3194100","4623500","34900","34700","122","165","130723"
"2 Builder v1.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2 Command v1.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","23800","1184500","25000","162300","272400","13100","6700","4400","199400","354400","572400","19600","24300","32","40","38499"
"2 constraints.xml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2 continuous integration.xml","0","0","1","0","0","1","0","0","0","1","0","0","0","0","19000","84100","14700","77300","128600","10600","6900","5200","119800","140200","161600","9100","12800","25","45","38506"
"2 generic subdomains.xml","0","0","1","0","0","1","0","0","0","0","0","0","0","0","131000","149500","20300","74600","86700","9300","6300","6500","107300","89000","93500","7300","12000","23","49","28793"
"2 intention-revealing interfaces.xml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26200","130300","13900","159600","113400","9900","7700","6900","171700","133000","192800","11900","22200","31","31","17544"
"2 layered architecture.xml","0","0","1","0","1","0","0","0","0","1","0","0","1","0","43100","570600","39800","748300","1256900","22900","9900","31300","3258500","1627800","1825700","54400","65200","122","177","167104"
"2 Observations and Measurements.xml","0","0","1","0","0","0","0","0","0","1","0","0","0","0","19300","355600","17800","197700","201600","7800","4900","5200","480400","269400","294400","12800","14300","50","76","180921"
"2 system metaphor.xml","0","0","1","0","0","0","0","0","0","0","0","0","1","0","12100","22500","9200","27400","23400","5800","3900","4300","25000","22500","22300","6600","6200","9","14","15291"
"20 most optimal one Subdomain per Bounded Context.xml","0","0","1","0","0","1","0","0","0","0","0","0","0","0","11700","48400","9600","35300","51900","5600","3500","4800","79400","44100","45800","5200","7800","16","30","22070"
"21 the same physical entity in different contexts.xml","0","0","1","0","1","0","0","0","0","1","0","0","0","0","12700","282500","13900","131700","228500","7200","4200","15700","396500","283000","306500","9200","43100","43","62","35317"
"3 Composite v1.xml","0","0","1","0","1","0","0","0","0","1","0","1","0","0","15800","121600","14800","253500","417800","20500","8400","5200","921800","488100","639200","29700","30100","52","49","56250"
"3 contextual map.xml","0","0","1","0","1","1","0","0","0","1","0","0","0","0","35000","532500","32100","194700","207100","10300","7500","5500","541500","473900","546900","18600","27900","50","88","81857"
"3 domain vision statement.xml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","13800","11400","7700","15000","14600","5300","3400","3800","90600","16700","15000","5200","6600","8","7","8945"
