"filename","failed_anlysis","CHATTY_SERVICE","CYCLIC_DEPENDENCY","DATA_SERVICE","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CYCLIC_DEPENDENCY_ns","DATA_SERVICE_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"1  bounded context_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","12060800","13318500","13985500","11392000","11511100","11555500","11195100","11201600","31530300","143511400","142857800","11141500","10852000","32","64","127328"
"1 Abstract Factory v1_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","0","11301000","11000500","11028000","11017700","11041200","11162600","11091200","10817600","73057000","712938600","731768600","10991700","10950700","56","56","151867"
"1 Accountability_transformed.graphml","0","0","0","0","1","0","0","0","0","1","1","1","0","0","11272100","11154000","10917600","11339100","10752100","10646800","10672500","10814000","91280200","68749300","68112000","10913000","10667800","150","38","258898"
"1 Adapter v1_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","1","0","0","10912200","10899100","10860300","10812900","11362100","10729900","10701800","10761400","21042200","161881100","161587200","10670300","10558100","15","13","38898"
"1 core domain_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","10584500","10818700","10614100","10551500","10750900","10793300","10579400","10585400","20939300","162362400","161421500","10521700","10455100","18","40","76839"
"1 evolving order_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","10632600","10571700","10267800","10339200","10629100","10513800","10571300","10581900","22808400","313115300","312767000","10715100","10387000","18","31","67499"
"1 model-driven design_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10487700","10461400","10336000","10493800","10634100","10519400","10767900","10582300","20037900","10761900","10613000","10399500","10519100","0","0","1329"
"1 Service Layer_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10680900","10719400","10604400","10754200","10894800","10583000","10768100","10755200","20551000","10959200","10785000","10623000","10642100","0","0","1329"
"1 ubiquitous language_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","10618800","10423400","10676800","10678400","10540100","10591700","10687100","10624900","20415700","132638600","253625800","10633600","10355100","20","25","61606"
"10 Layered Architecture for Information Systems_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10342100","10273900","10227800","10330300","10556500","10443300","10391500","10286100","19865800","10456300","10376100","24904700","10426900","0","0","1329"
"10 published language_transformed.graphml","0","0","1","0","1","1","0","0","0","1","0","0","0","0","10536400","10692700","10487200","10681300","10558700","10553500","10721400","10664200","41101500","291798400","296803700","10386100","10263900","65","61","166445"
"10 repositories_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10390200","10288600","10275700","10433700","10656200","10721200","10397700","10298400","20311400","310898100","309387700","10368900","10240800","21","27","65327"
"10 Service Stub_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10380500","10294400","10301800","10400600","10408800","10327800","10311900","10299000","20119800","57721400","67352700","10747100","10780800","5","4","14019"
"10 Template Method v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","10754900","11229600","10949700","10794600","11047100","10744200","10683500","10532900","25839400","643384800","705221200","10522900","10492400","44","59","139330"
"11 domain events_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","10583600","11295000","10714500","10587800","10596200","10633800","10812100","10687100","50987800","923461200","917915600","10625600","10495900","125","189","411312"
"11 Patterns for Type Model Design_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","0","10492800","10498300","10404000","10362200","10346400","10275800","10236400","10340600","31195500","759489000","760611100","10488800","10352800","86","91","233036"
"11 Visitor v1_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","0","10389200","10362700","10379300","10336600","10328000","10396800","10526700","10574200","31224400","1395347900","1450160700","10449400","10367700","96","122","294926"
"12 Association Patterns_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10577000","10166100","10151200","10249400","10406500","10449200","10371100","10247400","29037300","10484300","10295800","10213200","10186500","0","0","1329"
"2 Bridge v1_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2 Builder v1_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","10444900","10477700","10244100","10371200","10401000","10307700","10255300","10219500","20634700","254039400","298569900","10436900","10324800","20","27","63447"
"2 Command v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","1","1","0","0","10357700","10349500","10215600","10226600","10291100","10189600","10335300","10452400","20446600","255259000","254810600","10360500","10165000","17","27","58925"
"2 continuous integration_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","10648000","10682600","10564400","10548400","10560500","10395000","10244900","10233800","20158500","113386800","141848800","10329500","10748000","14","24","51850"
"2 generic subdomains_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","10337000","10438400","10297300","10472200","10399000","10223600","10272100","10174800","20160300","197669800","197423800","10239000","10295700","19","40","77753"
"2 intention-revealing interfaces_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10329800","10203300","10249700","11630900","10490300","10395000","10300400","10133000","19843400","10366800","10317000","10242000","10415400","9","9","26000"
"2 layered architecture_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","1","0","12253500","10622300","10466100","10977500","10484200","10587500","10563900","10522000","24661600","293104100","311730400","10684100","10448900","82","87","239096"
"2 Observations and Measurements_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2 system metaphor_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","1","0","10511600","10626300","10373800","10351100","10335400","10336300","10608300","10452400","20184600","122881600","123281600","10370200","10298200","9","14","34113"
"20 most optimal one Subdomain per Bounded Context_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","10506200","10342900","10203100","10270100","10474100","10585100","10485500","10421300","20404100","199580100","198651800","10604700","10645800","16","30","61240"
"21 the same physical entity in different contexts_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10470900","10433100","10422200","10446900","10596500","10562300","10624200","10637500","20717400","124044300","124347200","10647400","10691000","23","34","75663"
"3 Composite v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","1","1","0","0","10521900","10565200","10357100","10514600","10523400","10462300","10436300","10359400","20324000","319694500","404592200","10308600","10345900","28","30","77993"
"3 contextual map_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","0","0","0","10481500","10615100","10574900","10651400","10542300","10492200","10459900","10589000","22127600","385763800","384760100","10255500","10270600","37","65","133341"
"3 domain vision statement_transformed.graphml","0","0","0","0","0","1","0","0","0","0","0","0","0","0","10327500","10370900","10300200","10217300","10263700","10258500","10223100","10229700","19708600","122374300","123497400","10253300","10119600","7","7","20281"
"3 Factory Method v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","1","1","0","0","10380100","10355200","10453400","10423300","10302900","10403900","10313800","10157300","20585500","418717900","404651600","10235500","10161900","24","37","81265"
"3 Interpreter v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","1","1","0","0","10431800","10771600","10783800","10745500","10545700","10456700","10444100","10334200","20375300","347002600","366516700","10287700","10265800","23","38","81543"
"3 Observations for Corporate Finance_transformed.graphml","0","0","1","0","1","0","0","0","0","1","0","1","1","0","10260400","10250600","10410200","10680400","10292400","10281200","10214200","10349500","64788700","264792800","273315300","10694900","10496500","159","52","290430"
"3 responsibility layers_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","10415500","10283300","10439100","10581500","10580700","10524300","10532100","10304600","24539100","10372900","10293700","10222400","10281300","53","0","78573"
"3 side-effect free functions_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10477800","10262300","10160100","10054200","10087400","10197800","10233900","10119500","19891900","10423300","10415500","10321400","10233300","6","5","16594"
"3 user interface_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","1","0","10682200","10831200","10613500","10443500","10435900","10423800","10394900","10443300","98973900","1388643800","1352803100","10362000","10330100","134","262","515816"
"30 app example 1_transformed.graphml","0","0","0","1","1","1","0","1","0","1","1","1","1","0","10574600","10696800","10555600","10375500","10458400","10379300","10822900","10379100","32177400","1843463300","1969965700","10478100","10350000","182","255","575242"
"31 app example 2_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32 app example 3_transformed.graphml","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33 app example 4_transformed.graphml","0","0","0","0","1","1","0","0","0","1","0","1","0","0","10749000","10627500","10546200","10595300","10452200","10307300","10445300","10437200","21669700","413304400","462269000","10567400","10403100","55","54","147706"
"33 integration of bouded contexts through enterprise service bus_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","1","0","10380000","10462700","10397200","10204100","10200400","10166900","10162100","10407300","22519300","671371300","672183900","10238400","10166300","55","106","210322"
"33 integration of bouded contexts through message queue_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","1","0","10485200","10895400","10639400","10358300","10389700","10317600","10479600","10495100","22557500","630732000","628673100","10439200","10276700","54","107","210520"
"4 assertions_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","1","0","16443700","10495600","10705600","10440300","10522400","10428900","10416200","10342900","20081700","122677100","122971600","10314700","10283700","8","11","27207"
"4 Decorator v1_transformed.graphml","0","0","0","0","1","1","0","0","0","1","1","1","0","0","16468300","13548500","10757800","10509300","10433300","10361900","10438500","10376100","20790000","413850000","442046200","10663100","10480100","32","43","100320"
"4 entities_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","1","0","0","17056200","10896000","10987700","10474600","10581600","10495600","10471800","10256700","20218900","324317900","348417500","10420400","10326400","21","25","62402"
"4 highlighted core_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","16320900","10584700","10651800","10205900","11213500","10170200","10341600","10434600","20184200","160244200","165507300","10534500","11450400","16","36","68554"
"4 Iterator v1_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","15994800","10765400","11342300","10574400","10622500","10697500","10522800","10172100","20672100","648533600","649093900","10319500","10250000","44","73","153847"
"4 knowledge level_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17159100","10316300","10370300","10721300","10354800","10235200","10371000","10270000","19773800","10544500","10270800","10116000","10149300","0","0","1329"
"4 Prototype v1_transformed.graphml","0","0","0","0","0","1","0","0","0","1","1","1","0","0","15861700","10563800","10598300","10220800","10222400","10117400","10192000","10143200","20399400","273159400","309638800","10318400","10118100","21","31","69517"
"4 Referring to Objects_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","16006600","10316600","10660500","10376500","10217000","10075300","10217400","10150800","21087200","48184900","48108000","10301800","10361500","29","13","58573"
"4 shared kernel_transformed.graphml","0","0","1","0","1","1","0","0","0","1","1","1","0","0","15619500","10565300","10634200","10287000","10336100","24675100","10335600","10320000","22905100","273518300","291239000","10223000","10145400","47","49","126676"
"4 specification_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10191000","10189400","10144200","10068500","10227000","10278300","10291700","10278400","19785400","10278200","10202100","10173900","10189000","0","0","1329"
"5 cohesive mechanisms_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","10366900","10547600","10325400","10279300","10331500","10321700","10489800","10441900","20463500","151226500","160364800","10192400","10125500","16","34","66131"
"5 conceptual contours_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10154100","10125900","10183700","10159700","10415600","10379200","10426800","10383500","19980700","10505500","10521100","10441700","10343200","0","0","1329"
"5 customer-supplier teams_transformed.graphml","0","0","1","0","0","1","0","0","0","1","0","1","0","0","16145100","10673900","10696000","10297900","10362800","10315400","10415200","10362300","20509200","226551200","253736300","10184300","10157600","20","44","84001"
"5 dependency Inversion_transformed.graphml","0","0","0","0","0","1","0","0","0","1","0","0","0","0","10215500","10281900","10446500","10585000","10584200","10360900","10408700","10402000","20763300","10621400","10455100","10341100","10429200","30","48","103570"
"5 Facade v1_transformed.graphml","0","0","0","0","1","0","0","0","0","1","0","0","0","0","17081500","10488800","11329800","10493000","10995600","10409200","10485600","10415600","20359800","141810000","141571100","10303800","10186200","14","12","36718"
"5 Inventory and Accounting_transformed.graphml","0","0","1","0","1","0","0","0","0","1","1","1","1","0","10432000","10353000","10265200","10668600","10319500","10213700","10191100","10682600","84792800","492777800","500798800","10420300","10196500","192","93","391511"
"5 Mediator v1_transformed.graphml","0","0","1","0","0","1","0","0","0","1","1","1","0","0","10309800","10316800","10620800","10118400","10216200","10271300","10131300","10071200","19941900","406489300","403205800","10469700","10137300","26","45","94084"
