"filename","failed_anlysis","CHATTY_SERVICE","CHATTY_SERVICE_imp","CYCLIC_DEPENDENCY","CYCLIC_DEPENDENCY_imp","DATA_SERVICE","DATA_SERVICE_imp","DEAD_COMPONENT","DENSE_STRUCTURE","MESSAGE_CHAIN","MESSAGE_CHAIN_imp","SHARED_PERSISTENCY","STRICT_LAYER_VIOLATION","DUPLICATION","HUB_LIKE_MODULARIZATION","WEAKEND_MODULARITY","DOCUMENTATION","LAZY_COMPONENT","CHATTY_SERVICE_ns","CHATTY_SERVICE_imp_ns","CYCLIC_DEPENDENCY_ns","CYCLIC_DEPENDENCY_imp_ns","DATA_SERVICE_ns","DATA_SERVICE_imp_ns","DEAD_COMPONENT_ns","DENSE_STRUCTURE_ns","MESSAGE_CHAIN_ns","MESSAGE_CHAIN_imp_ns","SHARED_PERSISTENCY_ns","STRICT_LAYER_VIOLATION_ns","DUPLICATION_ns","HUB_LIKE_MODULARIZATION_ns","WEAKEND_MODULARITY_ns","DOCUMENTATION_ns","LAZY_COMPONENT_ns","nodes","edges","file_size_bytes"
"1  bounded context_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","11618100","3331900","11838300","22986300","10348100","2079800","9979600","10114600","9939900","44279200","9939400","9939400","25813000","126211800","119114200","9817600","9729200","32","64","127328"
"1 Abstract Factory v1_transformed.graphml","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","9679400","1781000","9496200","10195300","9632500","1482500","9424700","9600500","9770400","1880200","9436100","9405900","59573900","569581200","598474000","9648800","9391700","56","56","151867"
"1 Accountability_transformed.graphml","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","1","0","0","9673500","1495000","9422300","12522500","9372000","1274500","10031000","9796700","9597800","1537000","9885700","9757800","86086300","62052500","56642800","9420700","9490600","150","38","258898"
"1 Adapter v1_transformed.graphml","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","9197100","1256400","9055100","9883700","9164700","1336600","9241500","9491400","9309100","1349800","8929000","9707400","18092800","133560900","133440000","9227000","9222100","15","13","38898"
"1 core domain_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","9250200","1251400","9315000","9535500","9141500","1142700","8938400","9079000","9041800","1189800","8979600","8980500","17665000","133392100","133639500","9282400","9068000","18","40","76839"
"1 evolving order_transformed.graphml","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","1","0","0","9145400","1312600","9316400","9713100","9120900","1594000","9268600","9235800","9371100","1359900","9035600","9094400","18944600","257353600","257077800","9110300","8997100","18","31","67499"
"1 model-driven design_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9006300","1155200","8832000","9022900","8941600","1178300","9002300","9209800","9094600","1297300","9024800","9040700","17006100","9019100","9005700","8964700","8959800","0","0","1329"
"1 Service Layer_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9109100","1182400","8791100","9002900","9024200","1127300","8953700","9094500","9147200","1263400","8976700","8963100","16940700","9149700","9476700","9091100","9071100","0","0","1329"
"1 ubiquitous language_transformed.graphml","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","9372400","1163000","9006100","9299100","9174400","1109400","8829200","9048200","9008600","1162200","9075500","9181300","17241900","109835000","210080500","9066500","9029700","20","25","61606"
"10 Layered Architecture for Information Systems_transformed.graphml","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8928800","1186100","8745800","8897100","8843400","1038600","8931900","9004000","8932900","1097500","8831900","8895500","16987100","8976200","8969400","8950000","8913100","0","0","1329"
