"filename","transformation_time_ns"
"1  bounded context.xml","431501600"
"1 Abstract Factory v1.xml","41635800"
"1 Accountability.xml","51286000"
"1 Adapter v1.xml","15352900"
"1 associations.xml","3456800"
"1 core domain.xml","13761300"
"1 evolving order.xml","9277500"
"1 model-driven design.xml","6343100"
"1 Service Layer.xml","3317300"
"1 ubiquitous language.xml","8775300"
"10 Layered Architecture for Information Systems.xml","7398700"
"10 published language.xml","17707600"
"10 repositories.xml","18518000"
"10 Service Stub.xml","4642300"
"10 Template Method v1.xml","23154300"
"11 domain events.xml","41351800"
"11 Patterns for Type Model Design.xml","25458000"
"11 Visitor v1.xml","43703700"
"12 Association Patterns.xml","2874200"
"2 Bridge v1.xml","23892900"
"2 Builder v1.xml","8892100"
"2 Command v1.xml","7253400"
"2 constraints.xml","972800"
"2 continuous integration.xml","10166100"
"2 generic subdomains.xml","6324300"
"2 intention-revealing interfaces.xml","5002600"
"2 layered architecture.xml","24883700"
"2 Observations and Measurements.xml","23461300"
"2 system metaphor.xml","2518000"
"20 most optimal one Subdomain per Bounded Context.xml","3981800"
"21 the same physical entity in different contexts.xml","6135200"
"3 Composite v1.xml","7194600"
"3 contextual map.xml","11388900"
"3 domain vision statement.xml","3673900"
"3 Factory Method v1.xml","4536700"
"3 Interpreter v1.xml","5529900"
"3 Observations for Corporate Finance.xml","25446500"
"3 processes.xml","676800"
"3 responsibility layers.xml","7952300"
"3 side-effect free functions.xml","2687500"
"3 user interface.xml","27827100"
"30 app example 1.xml","27090400"
"31 app example 2.xml","48639500"
"32 app example 3.xml","8235100"
"33 app example 4.xml","5128100"
"33 integration of bouded contexts through enterprise service bus.xml","6603400"
"33 integration of bouded contexts through message queue.xml","6544500"
"4 assertions.xml","1956500"
"4 Decorator v1.xml","5276300"
"4 entities.xml","4871900"
"4 highlighted core.xml","2800000"
"4 Iterator v1.xml","5572600"
"4 knowledge level.xml","1106500"
"4 Prototype v1.xml","3085700"
"4 Referring to Objects.xml","2909100"
"4 shared kernel.xml","6527600"
"4 specification.xml","1811000"
"5 cohesive mechanisms.xml","2395600"
"5 conceptual contours.xml","1865700"
"5 customer-supplier teams.xml","3932900"
"5 dependency Inversion.xml","3447000"
"5 Facade v1.xml","3042600"
"5 Inventory and Accounting.xml","17350800"
"5 Mediator v1.xml","3791000"
"5 pluggable component framework.xml","3850000"
"5 Singleton v1.xml","1865700"
"5 value-objects.xml","3845400"
"6 Archisurance.xml","24295700"
"6 conformist.xml","4283800"
"6 declarative style.xml","498200"
"6 domain services.xml","4886500"
"6 event sourcing.xml","1770700"
"6 Flyweight v1.xml","7526400"
"6 Memento v1.xml","3152600"
"6 Planning.xml","13646200"
"6 standalone classes.xml","1694000"
"7 anticorruption layer.xml","4889200"
"7 closure of operations.xml","1327400"
"7 modules.xml","1477400"
"7 Observer v1.xml","3783400"
"7 Proxy v1.xml","3624200"
"7 segregated core.xml","3611400"
"7 Trading.xml","10455300"
"8 abstract core.xml","3279300"
"8 aggregates.xml","19713600"
"8 CQRS An Architecture of a Bounded Context.xml","1645700"
"8 Derivative Contracts.xml","9125100"
"8 separate ways.xml","3833000"
"8 State v1.xml","4316700"
"9 factories.xml","3350500"
"9 open host service.xml","4823400"
"9 Strategy v1.xml","3472200"
"9 Trading Packages.xml","10200600"
"Active Record.xml","4043300"
"additional patterns 2 Martins Clean Architecture BAD.xml","15350200"
"additional patterns 2 Martins Clean Architecture GOOD.xml","20313300"
"aditional patterns2 (martin's clean architecture).xml","580900"
"Alastria.xml","18556600"
"alo.xml","1134100"
"AMS2020_G010_E!.xml","13526500"
"analysis patterns overview.xml","1378100"
"Andromeda Games.xml","29444700"
"App Store.xml","1821700"
"application-collaboration.xml","1263900"
"Archi StyledHtml module.xml","14006600"
"Archimate recipes.xml","8427800"
"ArchiMate template.xml","5000200"
"Archimate-kurs del 1.xml","2801200"
"archimate_architecture_model.xml","1323900"
"Archisurance Senario 2.xml","10228700"
"Archisurance.xml","14709400"
"Architecture Model.xml","19807300"
"architecture scenario.xml","2738600"
"architecture.xml","2169000"
"Archivatrion.xml","2369100"
"Archi_Sample.xml","2185200"
"Archi_Sample2.xml","1990900"
"arquitectura.xml","3432500"
"ArquitecturaAU.xml","5720100"
"ArquiteturaModular.xml","1617500"
"Assignment06.xml","1575700"
"Association Table Mapping.xml","4215200"
"Auditoria.xml","1269300"
"BA.xml","1623700"
"Big Brother.xml","2421700"
"BPM Landscape Type 1.xml","2656800"
"Business-Functions.xml","6986200"
"C2.xml","4468100"
"Class Table Inheritance.xml","4097700"
"Client Session State.xml","2538400"
"ClientBM.xml","8422800"
"Cloud Computing.xml","2219700"
"Coarse-Grained Lock.xml","3154000"
"CoffeeNow.xml","7849300"
"ComponentesAU.xml","1380800"
"ComponentesNotification.xml","2665700"
"Concrete Table Inheritance.xml","3101800"
"Create_resource.xml","2412100"
"Dansk på norsk.xml","12644800"
"Data API Source.xml","1918100"
"Data Catalogue.xml","1599400"
"Data Mapper.xml","4253400"
"Data Transfer Object.xml","4935200"
"Database Session State.xml","3273200"
"Database Source.xml","1544400"
"dependency injection.xml","3201200"
"Dependent Mapping.xml","3819600"
"Deployment.xml","6305300"
"deployments.xml","6298900"
"design patterns overview.xml","2283500"
"DeviceReader.xml","2256000"
"DiagramaDeDespliegue.xml","33968800"
"DiagramasArchi.xml","11734200"
"Difi internt.xml","1686800"
"DLR-NVA.xml","4178000"
"DMS light.xml","2722100"
"docker-swarm.xml","6222200"
"docool.xml","416300"
"Domain Model.xml","1642300"
"EKOODI-suunnittelumallit.xml","4447700"
"Embedded Value.xml","4254000"
"Enterprise dApp Reference Model1.xml","6079800"
"Enterprise dApp Reference Model2.xml","6245200"
"enterprise pattern template.xml","1791600"
"enterprise patterns overview.xml","1169800"
"epp-price.xml","4786700"
"Essential.xml","948600"
"Ethereum.xml","3702200"
"Example extension by specialisation.xml","1752100"
"FastClaim.xml","2414000"
"Foreign Key Mapping.xml","3686200"
"Front Controller.xml","2220500"
"Gambo.xml","3993800"
"GateKeeper.xml","1604100"
"Gateway.xml","1602400"
"GroundUpDB.xml","4100400"
"gsip link data broker.xml","1298500"
"gsip linked data store.xml","1093100"
"gsip.xml","1400300"
"HealthDB.xml","1565300"
"IaaS.xml","1116800"
"Idea 2 Run.xml","637400"
"Identity Field.xml","2485600"
"Identity Map.xml","3009600"
"implementation-architecture.xml","2288900"
"Implicit Lock.xml","2037800"
"InfoSec.xml","7801500"
"Inheritance Mappers.xml","3134300"
"integration of bouded contexts through database .xml","5481000"
"Integration of bouded contexts through flat files.xml","5221000"
"Internet Object.xml","1705100"
"Inversion of Control.xml","947000"
"IPFS.xml","3142400"
"ist_analyse0.7.xml","10441600"
"ITPro2020Spring.xml","3852400"
"Kong.xml","1492000"
"Lab1.xml","1351900"
"LaTiendecita.xml","13408900"
"Layer Supertype.xml","1048100"
